,origintime,latitude,longitude,depth
0,2001-12-01 22:29:50.585855,-75.311758,160.473686,1725.586
1,2001-12-02 03:53:59.819708,-75.222502,160.771329,7827.148
2,2001-12-03 03:02:28.192520,-75.144302,160.6336,-4861.328
3,2001-12-03 08:16:32.334693,-75.659268,160.466549,157662.109
4,2001-12-04 03:15:42.106727,-75.226421,160.295108,-4965.332
5,2001-12-05 02:27:51.204741,-75.086203,160.637642,15038.086
6,2001-12-06 12:03:29.707871,-75.024118,160.500068,-4930.664
7,2001-12-09 06:03:26.659483,-75.243418,160.431871,-2850.586
8,2001-12-09 18:05:16.606731,-75.433175,160.466115,-4965.332
9,2001-12-10 06:55:57.163753,-75.185167,160.257527,-770.5079999999999
10,2001-12-11 08:39:52.228388,-75.359215,160.296085,-1533.2030000000002
11,2001-12-11 09:25:53.153945,-75.313217,160.646856,-4965.332
12,2001-12-13 11:06:53.731782,-75.254532,160.023891,-4930.664
13,2001-12-14 18:48:12.184430,-75.164514,161.035745,2626.953
14,2001-12-16 20:59:29.897229,-75.057586,160.647219,338.86699999999996
15,2001-12-18 18:22:45.208042,-75.423575,160.574915,-4930.664
16,2001-12-19 13:33:50.921042,-75.237408,160.492378,-4930.664
17,2001-12-19 20:04:15.259297,-75.406577,160.548828,-4930.664
18,2001-12-20 02:40:29.476472,-75.354443,160.504619,-2087.891
19,2001-12-20 13:00:06.825731,-75.184012,161.101743,80768.55500000001
20,2001-12-20 21:41:04.851887,-75.124938,161.224927,59482.422
21,2001-12-21 01:08:50.734416,-75.424202,160.451539,-4930.664
22,2001-12-22 00:05:08.161947,-75.160178,160.977634,84928.71100000001
23,2001-12-23 07:21:56.000018,-75.312936,161.052715,66693.359
24,2001-12-24 12:32:22.573053,-75.237707,159.913408,3112.3050000000003
25,2001-12-27 09:14:33.431797,-75.184442,160.199786,-146.484
26,2002-01-13 17:51:14.169760,-75.700954,160.507548,164318.359
27,2002-01-14 09:22:58.792428,-75.387205,159.891654,239201.17200000002
28,2002-01-14 17:01:26.617306,-75.365277,160.616128,55876.953
29,2002-01-20 07:14:11.123365,-75.653569,159.952179,177353.516
30,2002-01-22 19:23:25.942293,-75.011974,160.454092,-4861.328
31,2002-01-26 13:35:32.344261,-75.027547,160.383111,-4861.328
32,2002-03-06 04:41:39.844064,-75.162429,159.943811,119943.359
33,2002-11-15 13:01:19.265404,-74.890824,161.619234,57957.031
34,2002-11-15 14:54:46.056433,-75.172499,161.449475,5123.047
35,2002-11-19 13:00:56.802400,-75.244803,160.337457,-4861.328
36,2002-11-20 11:36:37.478649,-75.023653,161.849687,6509.766
37,2002-11-21 12:18:02.543139,-75.317907,160.146343,-4861.328
38,2002-11-21 15:11:45.777920,-75.172568,160.975955,-1810.5469999999998
39,2002-11-21 15:29:52.516110,-75.218062,161.005298,19544.922
40,2002-11-23 02:48:56.391486,-75.159233,160.838044,62741.211
41,2002-11-24 16:23:45.169259,-75.268392,160.888759,47001.953
42,2002-11-27 02:35:35.874736,-75.051692,160.830362,15107.422
43,2002-11-27 14:55:30.829114,-75.267143,160.629053,-2989.258
44,2002-11-28 00:41:32.611696,-75.383897,160.516187,-4653.32
45,2002-11-28 01:46:39.691198,-75.392146,160.66311,-4965.332
46,2002-11-28 02:31:24.216759,-75.253627,161.088615,5261.719
47,2002-11-28 11:05:12.684160,-75.148833,161.094581,30083.984
48,2002-11-29 12:07:32.161353,-75.196161,160.869108,60591.797
49,2002-11-29 17:49:51.176386,-75.40112,160.499082,-3127.9300000000003
50,2002-11-29 18:26:56.882270,-75.374318,160.527722,-2295.898
51,2002-11-29 22:12:18.678586,-75.012844,161.304096,79520.508
52,2002-11-30 10:39:35.396329,-75.095274,161.124576,61701.172
53,2002-11-30 10:56:50.014705,-75.205823,161.11344,30083.984
54,2002-11-30 11:16:26.021605,-75.223182,161.085048,30222.656
55,2002-11-30 18:30:27.489339,-75.164149,161.08424,45060.547
56,2002-11-30 19:19:26.713184,-75.319507,161.188334,58373.047
57,2002-12-01 16:08:18.083600,-75.018877,161.151623,12611.328
58,2002-12-02 04:57:19.488868,-75.281366,160.459128,-4237.305
59,2002-12-08 06:04:52.543779,-75.471668,160.890113,-4965.332
60,2002-12-10 08:45:52.265716,-74.946835,160.984534,4360.352
61,2002-12-11 05:25:04.423150,-75.41287,160.432179,-4930.664
62,2002-12-14 05:04:45.954575,-75.347192,160.430369,-4861.328
