Event Index Number,Reproduced depth (km),Depth with STAR (km),,Abs. Diff. in Depth,Is Abs. Diff <= 20 km?,,Ho etal IDE Event,Wei IDE Event,Ho etal Shallow Event,Wei Shallow Event,
806,131.582031,131.582031,,0,YES,,YES,YES,,,
808,102.929688,-4.648438,,107.578126,,,YES,,,YES,Original IDE swithed to shallow event
810,109.257812,109.257812,,0,YES,,YES,YES,,,
811,-4.296875,97.304688,,101.601563,,,,YES,YES,,Original shallow event switched to IDE event
812,80.078125,71.816406,,8.261719,YES,,YES,YES,,,
813,114.882812,-4.648438,,119.53125,,,YES,,,YES,Original IDE swithed to shallow event
814,-4.648438,-4.824219,,0.175781,YES,,,,YES,YES,
815,-4.296875,-4.648438,,0.351563,YES,,,,YES,YES,
817,-4.296875,97.128906,,101.425781,,,,YES,YES,,Original shallow event switched to IDE event
818,-4.648438,-4.648438,,0,YES,,,,YES,YES,
819,119.804688,-4.824219,,124.628907,,,YES,,,YES,Original IDE swithed to shallow event
820,122.265625,-4.824219,,127.089844,,,YES,,,YES,Original IDE swithed to shallow event
821,123.144531,123.144531,,0,YES,,YES,YES,,,
822,-4.824219,-4.824219,,0,YES,,,,YES,YES,
824,94.140625,85.878906,,8.261719,YES,,YES,YES,,,
825,-4.648438,-4.824219,,0.175781,YES,,,,YES,YES,
